frequency	language	identifier	gloss	lexeme
3	None	QBY>L/	Kabzeel	קַבְצְאֵל
3	None	QDMJ/	first	קַדְמָי
3	None	QCB=/	attentive	קַשֻּׁב
3	None	QNH=/	Kanah	קָנָה
3	None	QYW/	end	קָצוּ
3	None	QWR>/	Kore	קֹורֵא
3	None	QBL[	receive	קבל
3	None	QVL[	kill	קטל
3	None	QL<=[	carve	קלע
3	None	QMY[	take handful	קמץ
3	None	QP>[	condense	קפא
3	None	QY<[	cut off	קצע
3	None	QRR[	be cool	קרר
3	None	RXBJHW/	Rehabiah	רְחַבְיָהוּ
3	None	RXBWT/	Rehoboth	רְחֹבֹות
3	None	R<BWN/	hunger	רְעָבֹון
3	None	RPW>H/	healing	רְפוּאָה
3	None	RMWN===/	Rimmon	רִמֹּון
3	None	RMWN==/	Rimmon	רִמֹּון
3	None	R<H=/	fellow	רֵעֶה
3	None	R<==/	shouting	רֵעַ
3	None	R<H==/	female companion	רֵעָה
3	None	RKB=/	charioteer	רַכָּב
3	None	R<JWN/	striving	רַעְיֹון
3	None	RQ=/	thin	רַק
3	None	R>MWT/	<uncertain>	רָאמֹות
3	None	RWH/	watered	רָוֶה
3	None	RZWN/	emaciation	רָזֹון
3	None	RQ/	spittle	רֹק
3	None	RBK[	mix	רבך
3	None	RGC[	tremble	רגשׁ
3	None	RDH=[	scrape out	רדה
3	None	RWD[	roam	רוד
3	None	RXP[	shake	רחף
3	None	R<D[	tremble	רעד
3	None	RPD[	spread out	רפד
3	None	RPS[	<uncertain>	רפס
3	None	RTX[	boil	רתח
3	None	C>V/	scorn	שְׁאָט
3	None	CBW>L/	Shubael	שְׁבוּאֵל
3	None	CKWL/	loss of children	שְׁכֹול
3	None	CLMWT/	Shelomoth	שְׁלֹמֹות
3	None	CMJD</	Shemida	שְׁמִידָע
3	None	CMRJH/	Shemariah	שְׁמַרְיָה
3	None	CPVJHW/	Shephatiah	שְׁפַטְיָהוּ
3	None	CRC/	root	שְׁרֹשׁ
3	None	CBLT=/	stream	שִׁבֹּלֶת
3	None	CG<WN/	madness	שִׁגָּעֹון
3	None	CKRWN/	drunkenness	שִׁכָּרֹון
3	None	CLWXJM/	act of sending	שִׁלּוּחִים
3	None	CLWM=/	reward	שִׁלּוּם
3	None	CM<H=/	Shimeah	שִׁמְעָה
3	None	CMRWN==/	Shimron	שִׁמְרֹון
3	None	CQWJ/	drink	שִׁקּוּי
3	None	CGL/	concubine	שֵׁגַל
3	None	CN/	tooth	שֵׁן
3	None	CC==/	alabaster	שֵׁשׁ
3	None	CCJ=/	Sheshai	שֵׁשַׁי
3	None	CT/	posterior	שֵׁת
3	None	CKM===/	Shechem	שֶׁכֶם
3	None	CBTJ/	Shabbethai	שַׁבְּתַי
3	None	CJ/	gift	שַׁי
3	None	C<RJM/	Shaaraim	שַׁעֲרַיִם
3	None	CLB/	cross-bar	שָׁלָב
3	None	CMJR==/	Shamir	שָׁמִיר
3	None	CMJR=/	diamond	שָׁמִיר
3	None	CMM/	desolate	שָׁמֵם
3	None	CD===/	breast	שֹׁד
3	None	CWBB=/	apostate	שֹׁובָב
3	None	CWV=/	spate	שֹׁוט
3	None	CWLL/	barefoot	שֹׁולָל
3	None	C<L/	handful	שֹׁעַל
3	None	CR/	navel	שֹׁר
3	None	CPJM/	Shuppim	שֻׁפִּים
3	None	CBX=[	be calm	שׁבח
3	None	CGX[	gaze	שׁגח
3	None	CDP[	scorch	שׁדף
3	None	CWB>L/	Shubael	שׁוּבָאֵל
3	None	CWNM/	Shunem	שׁוּנֵם
3	None	CW<===/	Shua	שׁוּעַ
3	None	CWR/	wall	שׁוּר
3	None	CWV=[	despise	שׁוט
3	None	CWP=[	snatch	שׁוף
3	None	CWQ[	be narrow	שׁוק
3	None	CZP[	catch sight	שׁזף
3	None	CXT[	spoil	שׁחת
3	None	CLM[	be finished	שׁלם
3	None	C<<=[	paste	שׁעע
3	None	CPR[	please	שׁפר
3	None	FGWB/	Segub	שְׂגוּב
3	None	F<R/	hair	שְׂעַר
3	None	FDJM/	Siddim	שִׂדִּים
3	None	FJXH/	concern	שִׂיחָה
3	None	FRX/	Serah	שֶׂרַח
3	None	FHRNJM/	<ornament>	שַׂהֲרֹנִים
3	None	F<R==/	bristling	שַׂעַר
3	None	FR>YR/	Sharezer	שַׂרְאֶצֶר
3	None	FKLTNW/	insight	שָׂכְלְתָנוּ
3	None	F<JR===/	hairy	שָׂעִיר
3	None	FRJG/	tendril	שָׂרִיג
3	None	FG>[	be much	שׂגא
3	None	FDD[	draw	שׂדד
3	None	FXH[	swim	שׂחה
3	None	F<R=[	bristle	שׂער
3	None	FRV[	tattoo	שׂרט
3	None	FR<[	deform	שׂרע
3	None	TKWNH/	fixed place	תְּכוּנָה
3	None	TLT=/	triumvir	תְּלָת
3	None	TMH/	wonder	תְּמַהּ
3	None	T<WDH/	attestation	תְּעוּדָה
3	None	TCWQH/	impulse	תְּשׁוּקָה
3	None	TBNJ/	Tibni	תִּבְנִי
3	None	TGLT_PL>SR/	Tiglath-Pileser	תִּגְלַת פִּלְאֶסֶר
3	None	TLGT_PLN>SR/	Tiglath-Pileser	תִּלְּגַת פִּלְנְאֶסֶר
3	None	TPLH=/	unseemliness	תִּפְלָה
3	None	TBY/	Thebez	תֵּבֵץ
3	None	TXPNJS/	Tahpenes	תַּחְפְּנֵיס
3	None	TMRWRJM/	bitterness	תַּמְרוּרִים
3	None	TNXWMJM/	consolation	תַּנְחוּמִים
3	None	TR<LH/	reeling	תַּרְעֵלָה
3	None	TW/	mark	תָּו
3	None	TWL</	scarlet worm	תֹּולָע
3	None	TQP/	power	תֹּקֶף
3	None	TRN/	mast	תֹּרֶן
3	None	TL>[	hang	תלא
3	None	TQN[	be straight	תקן
3	None	TQP[	overpower	תקף
2	None	>WJ/	Evi	אֱוִי
2	None	>WJL_MRDK/	Evil-merodach	אֱוִיל מְרֹדַךְ
2	None	>LJHW=/	Elihu	אֱלִיהוּ
2	None	>LJ<M/	Eliam	אֱלִיעָם
2	None	>LJPLHW/	Eliphelehu	אֱלִיפְלֵהוּ
2	None	>LJCW</	Elishua	אֱלִישׁוּעַ
2	None	>BJHW/	Abijah	אֲבִיָּהוּ
2	None	>BJD</	Abida	אֲבִידָע
2	None	>BJHJL/	Abihail	אֲבִיהַיִל
2	None	>BJVL/	Abital	אֲבִיטָל
2	None	>BJM>L/	Abimael	אֲבִימָאֵל
2	None	>BJCLWM/	Abishalom	אֲבִישָׁלֹום
2	None	>BJCWR/	Abishur	אֲבִישׁוּר
2	None	>B<B<T/	blisters	אֲבַעְבֻּעֹת
2	None	>GRVL/	basket	אֲגַרְטָל
2	None	>DRGZR/	counselor	אֲדַרְגָּזַר
2	None	>DRKWN/	<currency unit>	אֲדַרְכֹּון
2	None	>DNJ_YDQ/	Adoni-Zedek	אֲדֹנִי צֶדֶק
2	None	>DNJRM/	Adoniram	אֲדֹנִירָם
2	None	>DRM/	Adoniram	אֲדֹרָם
2	None	>ZQJM/	handcuffs	אֲזִקִּים
2	None	>XJ=/	Ahi	אֲחִי
2	None	>XJ>M/	Ahiam	אֲחִיאָם
2	None	>XCTRN/	royal	אֲחַשְׁתְּרָן
2	None	>MTJ/	Amittai	אֲמִתַּי
2	None	>MNH===/	Amana	אֲמָנָה
2	None	>MNH==/	trustworthy arrangement	אֲמָנָה
2	None	>NJH=/	mourning	אֲנִיָּה
2	None	>NP/	face	אֲנַף
2	None	>NPH/	<bird's name>	אֲנָפָה
2	None	>PR=/	band	אֲפֵר
2	None	>PRSKJ/	<uncertain>	אֲפַרְסְכָי
2	None	>YLJHW/	Azaliah	אֲצַלְיָהוּ
2	None	>RJ>L/	fire-place	אֲרִיאֵל
2	None	>RX/	way	אֲרַח
2	None	>RN=/	Aran	אֲרָן
2	None	>BYN/	Ibzan	אִבְצָן
2	None	>DW/	Iddo	אִדֹּו
2	None	>VR/	left-handed	אִטֵּר
2	None	>J=	how	אִי
2	None	>JKBWD/	Ichabod	אִיכָבֹוד
2	None	>LW	if	אִלּוּ
2	None	>MRJ=/	Imri	אִמְרִי
2	None	>B=/	bud	אֵב
2	None	>D/	<uncertain>	אֵד
2	None	>JLWN=/	Elon	אֵילֹון
2	None	>LM=/	<uncertain>	אֵלֶם
2	None	>LWN==/	Elon	אֵלֹון
2	None	>GRP/	broom	אֶגְרֹף
2	None	>DR/	might	אֶדֶר
2	None	>ZR</	arm	אֶזְרֹעַ
2	None	>LDD/	Eldad	אֶלְדָּד
2	None	>LD<H/	Eldaah	אֶלְדָּעָה
2	None	>LZBD/	Elzabad	אֶלְזָבָד
2	None	>LJHW<JNJ/	Eliehoenai	אֶלְיְהֹועֵינַי
2	None	>LJXB>/	Eliahba	אֶלְיַחְבָּא
2	None	>LYPN/	Elizaphan	אֶלְצָפָן
2	None	>LTQ>/	Eltekeh	אֶלְתְּקֵא
2	None	>LTWLD/	Eltolad	אֶלְתֹּולַד
2	None	>LSR/	Ellasar	אֶלָּסָר
2	None	>PLL/	Ephlal	אֶפְלָל
2	None	>PS_DMJM/	Ephes Dammim	אֶפֶס דַּמִּים
2	None	>YBWN/	Ezbon	אֶצְבֹּון
2	None	>Y<DH/	bracelet	אֶצְעָדָה
2	None	>RB=/	ambush	אֶרֶב
2	None	>RG/	weaver's bobbin	אֶרֶג
2	None	>CB<L/	Esh-Baal	אֶשְׁבַּעַל
2	None	>CBN/	Eshban	אֶשְׁבָּן
2	None	>CKR/	tribute	אֶשְׁכָּר
2	None	>CKL/	Eshcol	אֶשְׁכֹּל
2	None	>CNB/	window	אֶשְׁנָב
2	None	>CPR/	<type of cake>	אֶשְׁפָּר
2	None	>CTDWR/	revolt	אֶשְׁתַּדּוּר
2	None	>CTWN/	Eshton	אֶשְׁתֹּון
2	None	>DB>L/	Abdeel	אַדְבְּאֵל
2	None	>DRMLK=/	Adrammelech	אַדְרַמֶּלֶךְ
2	None	>HB=/	love	אַהַב
2	None	>ZD>	publicly known	אַזְדָּא
2	None	>XLJ/	Ahlai	אַחְלָי
2	None	>XLMH/	jasper	אַחְלָמָה
2	None	>XLJ	alas	אַחֲלַי
2	None	>KZB/	deceitful	אַכְזָב
2	None	>LLJ	alas	אַלְלַי
2	None	>LMWDD/	Almodad	אַלְמֹודָד
2	None	>MYJ/	Amzi	אַמְצִי
2	None	>MRPL/	Amraphel	אַמְרָפֶל
2	None	>PJM/	Appaim	אַפָּיִם
2	None	>R>LJ=/	Areli	אַרְאֵלִי
2	None	>RD/	Ard	אַרְדְּ
2	None	>RWD=/	Arvad	אַרְוַד
2	None	>RWDJ/	Arvadite	אַרְוָדִי
2	None	>RJWK/	Arioch	אַרְיֹוךְ
2	None	>RKH/	length	אַרְכָה
2	None	>RNBT/	hare	אַרְנֶבֶת
2	None	>RTXCFT>/	Artaxerxes	אַרְתַּחְשַׁשְׂתָּא
2	None	>CXWR/	Ashhur	אַשְׁחוּר
2	None	>CNH/	Ashnah	אַשְׁנָה
2	None	>CP/	conjurer	אַשָּׁף
2	None	>CWR==/	step	אַשּׁוּר
2	None	>BL_BJT_M<KH/	Abel-beth-maacah	אָבֵל בֵּית מַעֲכָה
2	None	>LWC/	Alush	אָלוּשׁ
2	None	>MNH	indeed	אָמְנָה
2	None	>MJR/	branch	אָמִיר
2	None	>MWN=/	fondling	אָמֹון
2	None	>MY=/	piebald	אָמֹץ
2	None	>SJP/	harvesting	אָסִיף
2	None	>SM/	store	אָסָם
2	None	>BN=/	potter's wheel	אֹבֶן
2	None	>HB/	display of love	אֹהַב
2	None	>HD/	Ohad	אֹהַד
2	None	>WRH/	light	אֹורָה
2	None	>NH/	time of mourning	אֹנֶה
2	None	>YM/	Ozem	אֹצֶם
2	None	>RXH/	caravan	אֹרְחָה
2	None	>RB/	ambush	אֹרֶב
2	None	>RT/	mallow <flower>	אֹרֹת
2	None	>BS[	fatten	אבס
2	None	>BQ[	wrestle	אבק
2	None	>WLJ=/	Ulai	אוּלַי
2	None	>WPZ/	Uphaz	אוּפָז
2	None	>NH=[	mourn	אנה
2	None	>NN[	complain	אנן
2	None	>PD[	dress	אפד
2	None	>RH[	pluck	ארה
2	None	>CRN/	<uncertain>	אשׁרן
2	None	B>R=/	Beer	בְּאֵר
2	None	B>RJ/	Beeri	בְּאֵרִי
2	None	BDD=/	Bedad	בְּדַד
2	None	BDN/	Bedan	בְּדָן
2	None	BDLX/	bdellium-gum	בְּדֹלַח
2	None	BHWN/	thumb	בְּהֹון
2	None	BXWRWT/	youth	בְּחוּרֹות
2	None	BNJ_J<QN/	Bene Jaakan	בְּנֵי יַעֲקָן
2	None	B<LWT/	Bealoth	בְּעָלֹות
2	None	B<TH/	terror	בְּעָתָה
2	None	BTW>L=/	Bethuel	בְּתוּאֵל
2	None	BGTN/	Bigthana	בִּגְתָן
2	None	BJRNJH/	fortified place	בִּירָנִיָּה
2	None	BLCN/	Bilshan	בִּלְשָׁן
2	None	BN<>/	Binea	בִּנְעָא
2	None	B<WT/	terror	בִּעוּת
2	None	BJN/	between	בֵּין
2	None	BJT_BRH/	Beth Barah	בֵּית בָּרָה
2	None	BJT_DGWN/	Beth Dagon	בֵּית דָּגֹון
2	None	BJT_HKRM/	Beth Hakkerem	בֵּית הַכֶּרֶם
2	None	BJT_NMRH/	Beth Nimrah	בֵּית נִמְרָה
2	None	BJT_PLV/	Beth Pelet	בֵּית פֶּלֶט
2	None	BJT_RXWB/	Beth Rehob	בֵּית רְחֹוב
2	None	BLVC>YR/	Belteshazzar	בֵּלְטְשַׁאצַּר
2	None	BNJM/	<space between>	בֵּנַיִם
2	None	BSJ/	Besai	בֵּסַי
2	None	BGD=/	treachery	בֶּגֶד
2	None	BL<===/	Bela	בֶּלַע
2	None	BYR/	ore	בֶּצֶר
2	None	BQ</	half-shekel	בֶּקַע
2	None	BL>DN/	Baladan	בַּלְאֲדָן
2	None	B<L_BRJT/	Baal-Berith	בַּעַל בְּרִית
2	None	B<L_XRMWN/	Baal Hermon	בַּעַל חֶרְמֹון
2	None	BYLWT/	Bazluth	בַּצְלוּת
2	None	BYRT/	drought	בַּצֹּרֶת
2	None	BQBWQ/	Bakbuk	בַּקְבּוּק
2	None	BRQNJM/	<uncertain>	בַּרְקֳנִים
2	None	BRQWS/	Barkos	בַּרְקֹוס
2	None	BRK>L/	Barakel	בַּרַכְאֵל
2	None	BT/	bath	בַּת
2	None	B>C=/	rotten berry	בָּאֻשׁ
2	None	BGWD/	treacherous	בָּגֹוד
2	None	BVWX/	confident	בָּטוּחַ
2	None	BMWT/	Bamoth	בָּמֹות
2	None	BMWT_B<L/	Bamoth Baal	בָּמֹות בַּעַל
2	None	B<W/	request	בָּעוּ
2	None	BYQT/	Bozkath	בָּצְקַת
2	None	BQJ</	breach	בָּקִיעַ
2	None	BRQT/	beryl	בָּרֶקֶת
2	None	BRWR/	pure	בָּרוּר
2	None	BRWT/	bread of consolation	בָּרוּת
2	None	BCL/	cooked	בָּשֵׁל
2	None	BHN=/	Bohan	בֹּהַן
2	None	BKRW/	Bokeru	בֹּכְרוּ
2	None	BKJM/	Bokim	בֹּכִים
2	None	B<Z=/	Boaz	בֹּעַז
2	None	BRJT=/	alkaline salt	בֹּרִית
2	None	BNJ=/	Bunni	בֻּנִּי
2	None	BQJHW/	Bukkiah	בֻּקִּיָּהוּ
2	None	BWZ=/	Buz	בּוּז
2	None	BWZJ/	Buzite	בּוּזִי
2	None	BWL/	dry wood	בּוּל
2	None	BD>[	devise	בדא
2	None	BZ>[	wash away	בזא
2	None	BZR[	scatter	בזר
2	None	BL<==[	communicate	בלע
2	None	BLQ[	waste	בלק
2	None	B<V[	kick	בעט
2	None	BYQ[	swell	בצק
2	None	BTR[	cut	בתר
2	None	GBJR/	lord	גְּבִיר
2	None	GBWRH/	power	גְּבוּרָה
2	None	GDRH=/	Gederah	גְּדֵרָה
2	None	GDRWT/	Gederoth	גְּדֵרֹות
2	None	GDBR/	treasurer	גְּדָבַר
2	None	GZRH/	decision	גְּזֵרָה
2	None	GLL/	<uncertain>	גְּלָל
2	None	GNBH/	what is stolen	גְּנֵבָה
2	None	GNBT/	Genubath	גְּנֻבַת
2	None	GBLJ/	Gebalite	גִּבְלִי
2	None	GDGD/	Hor Haggidgad	גִּדְגָּד
2	None	GDLTJ/	Giddalti	גִּדַּלְתִּי
2	None	GDWP/	reviling word	גִּדּוּף
2	None	GDWPH/	reviling word	גִּדּוּפָה
2	None	GJLH/	rejoicing	גִּילָה
2	None	GJLNJ/	Gilonite	גִּילֹנִי
2	None	GJNT/	Ginath	גִּינַת
2	None	GLH=/	Giloh	גִּלֹה
2	None	GLJWN/	tablet	גִּלָּיֹון
2	None	GNTWN/	Ginnethon	גִּנְּתֹון
2	None	GTJM/	Gittaim	גִּתַּיִם
2	None	G>/	haughty	גֵּא
2	None	GZL=/	robbing	גֵּזֶל
2	None	GJ>_MLX/	the Valley of Salt	גֵּיא מֶלַח
2	None	GB>/	ditch	גֶּבֶא
2	None	GBR=/	Geber	גֶּבֶר
2	None	GZR/	piece	גֶּזֶר
2	None	GRF/	groats	גֶּרֶשׂ
2	None	GTR/	Gether	גֶּתֶר
2	None	GBHWT/	haughtiness	גַּבְהוּת
2	None	GBLT/	<uncertain>	גַּבְלֻת
2	None	GBNN/	knoll	גַּבְנֹן
2	None	GBRJ>L/	Gabriel	גַּבְרִיאֵל
2	None	GD/	coriander	גַּד
2	None	GZM=/	Gazzam	גַּזָּם
2	None	GXLT/	glow	גַּחֶלֶת
2	None	GXR/	Gahar	גַּחַר
2	None	GLGL==/	wheel	גַּלְגַּל
2	None	GL<D=/	Galeed	גַּלְעֵד
2	None	GLJM/	Gallim	גַּלִּים
2	None	GDJ===/	Gadi	גָּדִי
2	None	GDL==/	tassel	גָּדִל
2	None	GZZ/	Gazez	גָּזֵז
2	None	GXWN/	belly	גָּחֹון
2	None	GLL=/	dung	גָּלָל
2	None	GBJ/	swarm	גֹּבַי
2	None	GWB=/	Gob	גֹּוב
2	None	GWZL/	young of birds	גֹּוזָל
2	None	GWR=/	whelp	גֹּור
2	None	GWPH/	corpse	גּוּפָה
2	None	GDD[	cut down	גדד
2	None	GWZ[	pass along	גוז
2	None	GLC[	go down	גלשׁ
2	None	GM>[	swallow	גמא
2	None	G<H[	low	געה
2	None	GRS[	be crushed	גרס
2	None	GCC[	grope	גשׁשׁ
2	None	DBLT/	fig cake	דְּבֶלֶת
2	None	DXJ/	stumbling	דְּחִי
2	None	DLJ/	bucket	דְּלִי
2	None	DRWR==/	swallow	דְּרֹור
2	None	DTBR/	law official	דְּתָבַר
2	None	DBRH/	matter	דִּבְרָה
2	None	DJMWN/	Dimon	דִּימֹון
2	None	DNHBH/	Dinhabah	דִּנְהָבָה
2	None	DQLH/	Diklah	דִּקְלָה
2	None	DR>WN/	abhorrence	דֵּרָאֹון
2	None	DLP/	roof	דֶּלֶף
2	None	DT>/	vegetation	דֶּתֶא
2	None	DHRH/	dashing	דַּהֲרָה
2	None	DJG/	fisher	דַּיָּג
2	None	DJH/	<uncertain>	דַּיָּה
2	None	DJN=/	judge	דַּיָּן
2	None	DLH/	thread	דַּלָּה
2	None	DRDR/	thistles	דַּרְדַּר
2	None	DRQWN/	Darkon	דַּרְקֹון
2	None	DKRN/	memorandum	דָּכְרָן
2	None	DPQH/	Dophkah	דָּפְקָה
2	None	D>R/	Dor	דֹּאר
2	None	DBR==/	pasture	דֹּבֶר
2	None	DWKJPT/	hoopoe	דּוּכִיפַת
2	None	DWMH/	silence	דּוּמָה
2	None	DWR=/	circle	דּוּר
2	None	DGR[	<uncertain>	דגר
2	None	DDH[	<uncertain>	דדה
2	None	DWR[	circulate	דור
2	None	DXX[	thrust	דחח
2	None	DXQ[	urge	דחק
2	None	DLP[	be sleepless	דלף
2	None	DMH[	resemble	דמה
2	None	DM<[	shed tears	דמע
2	None	DC>[	grow green	דשׁא
2	None	HMLH/	sound	הֲמֻלָּה
2	None	HLL/	Hillel	הִלֵּל
2	None	HLWLJM/	exultation	הִלּוּלִים
2	None	H>	behold	הֵא
2	None	HJK	how	הֵיךְ
2	None	HLK/	going	הֵלֶךְ
2	None	HRJWN/	conception	הֵרָיֹון
2	None	HDM/	limb	הַדָּם
2	None	HGJG/	groaning	הָגִיג
2	None	HDW/	India	הֹדּוּ
2	None	HW	ah	הֹו
2	None	HWTJR/	Hothir	הֹותִיר
2	None	ZKRJH/	Zechariah	זְכַרְיָה
2	None	ZW/	Siw	זִו
2	None	ZJZ/	swarm	זִיז
2	None	ZJZ>/	Ziza	זִיזָא
2	None	ZJQH/	fire-arrow	זִיקָה
2	None	ZMRN/	Zimran	זִמְרָן
2	None	ZRMH/	penis	זִרְמָה
2	None	ZRW<=/	plant	זֵרוּעַ
2	None	ZTM/	Zetham	זֵתָם
2	None	ZBDJ>L/	Zabdiel	זַבְדִּיאֵל
2	None	Z<WN/	Zaavan	זַעֲוָן
2	None	ZWJT/	corner	זָוִית
2	None	Z<P=/	raging	זָעֵף
2	None	ZHR/	shining	זֹהַר
2	None	ZW=	this	זֹו
2	None	ZW<[	tremble	זוע
2	None	ZXX[	displace	זחח
2	None	ZNB[	cut off	זנב
2	None	ZQP[	raise up	זקף
2	None	ZRM[	flood thunderously?	זרם
2	None	XSN/	power	חֱסֵן
2	None	XBYLT/	asphodel	חֲבַצֶּלֶת
2	None	XBQWQ/	Habakkuk	חֲבַקּוּק
2	None	XGBH/	Hagabah	חֲגָבָה
2	None	XDD/	Hadad	חֲדַד
2	None	XZWT/	appearance	חֲזֹות
2	None	XVJV>/	Hatita	חֲטִיטָא
2	None	XVJP>/	Hatipha	חֲטִיפָא
2	None	XKLJH/	Hacaliah	חֲכַלְיָה
2	None	XLJ=/	ornament	חֲלִי
2	None	XLJYH/	stripped	חֲלִיצָה
2	None	XMH/	wrath	חֲמָה
2	None	XMTJ/	Hamathite	חֲמָתִי
2	None	XYRMWT/	Hazarmaveth	חֲצַרְמָוֶת
2	None	XQWP>/	Hakupha	חֲקוּפָא
2	None	XRDH=/	Haradah	חֲרָדָה
2	None	XRDJ/	Harodite	חֲרֹדִי
2	None	XCBNJH/	Hashabneiah	חֲשַׁבְנְיָה
2	None	XCC/	dried grass	חֲשַׁשׁ
2	None	XFWP>/	Hasupha	חֲשׂוּפָא
2	None	XBJH/	Hobaiah	חֳבַיָּה
2	None	XBQ/	folding	חִבֻּק
2	None	XDQL/	Tigris	חִדֶּקֶל
2	None	XJRH/	Hirah	חִירָה
2	None	XNVH/	wheat	חִנְטָה
2	None	XCBWN=/	invention	חִשָּׁבֹון
2	None	XDQ/	nightshade	חֵדֶק
2	None	XZJR=/	Hezir	חֵזִיר
2	None	XJLM/	Helam	חֵילָם
2	None	XLKH/	<uncertain>	חֵלְכָה
2	None	XLP/	return	חֵלֶף
2	None	XLQ====/	Helek	חֵלֶק
2	None	XBL===/	destruction	חֶבֶל
2	None	XDWH/	joy	חֶדְוָה
2	None	XL>H=/	Helah	חֶלְאָה
2	None	XLDJ/	Heldai	חֶלְדַּי
2	None	XLQT/	Helkath	חֶלְקַת
2	None	XLQH=/	smoothness	חֶלְקָה
2	None	XMLH/	compassion	חֶמְלָה
2	None	XSD=/	shame	חֶסֶד
2	None	XSR=/	lack	חֶסֶר
2	None	XYRWN=/	Hezron	חֶצְרֹון
2	None	XYRWNJ/	Hezronite	חֶצְרֹונִי
2	None	XRMC/	sickle	חֶרְמֵשׁ
2	None	XRV/	stylus	חֶרֶט
2	None	XRS=/	sun	חֶרֶס
2	None	XTLN/	Hethlon	חֶתְלֹן
2	None	XGJ==/	Haggi	חַגִּי
2	None	XGJ/	Haggai	חַגַּי
2	None	XWRN/	Hauran	חַוְרָן
2	None	XWH=/	Eve	חַוָּה
2	None	XVJL/	Hattil	חַטִּיל
2	None	XV>H=/	sin	חַטָּאָה
2	None	XJJN/	life	חַיִּין
2	None	XKMWNJ/	Hacmoni	חַכְמֹונִי
2	None	XMWN/	Hammon	חַמֹּון
2	None	XNJ>L/	Hanniel	חַנִּיאֵל
2	None	XYYN_TMR/	Hazazon Tamar	חַצְצֹן תָּמָר
2	None	XRXWR/	Harhur	חַרְחוּר
2	None	XRYB/	fetter	חַרְצֹב
2	None	XRC>/	Harsha	חַרְשָׁא
2	None	XCMNH/	Hashmonah	חַשְׁמֹנָה
2	None	XT/	terror	חַת
2	None	XT=/	terror-filled	חַת
2	None	XZQ==/	strong	חָזֵק
2	None	XM==/	hot	חָם
2	None	XSN/	strong	חָסֹן
2	None	XPCJT/	exempt	חָפְשִׁית
2	None	XYY/	pebble	חָצָץ
2	None	XRJV/	purse	חָרִיט
2	None	XRJP/	Hariph	חָרִיף
2	None	XRJY/	axe	חָרִיץ
2	None	XRN=/	Haran	חָרָן
2	None	XBLJM/	union	חֹבְלִים
2	None	XBB/	Hobab	חֹבָב
2	None	XWTM=/	Hotham	חֹותָם
2	None	XVR/	shoot	חֹטֶר
2	None	XR_HGDGD/	Hor Haggidgad	חֹר הַגִּדְגָּד
2	None	XLDH/	Huldah	חֻלְדָּה
2	None	XR/	hiding-place	חֻר
2	None	XWL==/	Hul	חוּל
2	None	XWR/	linen	חוּר
2	None	XWCJM/	Hushim	חוּשִׁים
2	None	XJL=[	endure	חיל
2	None	XLP=[	cut	חלף
2	None	XMQ[	turn away	חמק
2	None	XNN[	show mercy	חנן
2	None	XNQ[	strangle	חנק
2	None	XSD[	act piously	חסד
2	None	XSM[	muzzle	חסם
2	None	XSN[	possess	חסן
2	None	XYP[	be bare	חצף
2	None	XRM=[	mutilate	חרם
2	None	XRP=[	spend autumn	חרף
2	None	XTL[	swaddle	חתל
2	None	VPR/	nail	טְפַר
2	None	VJN/	clay	טִין
2	None	VPSR/	official	טִפְסָר
2	None	VPX/	span	טֶפַח
2	None	VB<WT/	Tabbaoth	טַבָּעֹות
2	None	VBWR/	navel	טַבּוּר
2	None	VPXH/	span	טַפְחָה
2	None	VB/	good	טָב
2	None	VB>L/	Tabeel	טָבְאֵל
2	None	VLH/	lamb	טָלֶה
2	None	VRJ/	fresh	טָרִי
2	None	VRP=/	fresh plucked	טָרָף
2	None	VRX/	burden	טֹרַח
2	None	VXWT/	<uncertain>	טֻחֹות
2	None	VWR/	mountain	טוּר
2	None	VWH[	spin	טוה
2	None	VRD[	drive away	טרד
2	None	JDJH/	Jedaiah	יְדָיָה
2	None	JHLL>L/	Jehallelel	יְהַלֶּלְאֵל
2	None	JHWJRJB/	Jehoiarib	יְהֹויָרִיב
2	None	JHW<DH/	Jehoaddah	יְהֹועַדָּה
2	None	JHW<DN/	Jehoaddin	יְהֹועַדָּן
2	None	JHWCB<T/	Jehosheba	יְהֹושַׁבְעַת
2	None	JXJ>LJ/	Jehieli	יְחִיאֵלִי
2	None	JKLJHW/	Jecoliah	יְכָלְיָהוּ
2	None	JMW>L/	Jemuel	יְמוּאֵל
2	None	JSDWT/	foundation	יְסֹדֹות
2	None	JQM<M=/	Jekameam	יְקַמְעָם
2	None	JQHH/	obedience	יְקָהָה
2	None	JQD/	burning	יְקֹד
2	None	JRJHW/	Jeriah	יְרִיָּהוּ
2	None	JRCH=/	possession	יְרֵשָׁה
2	None	JRX/	month	יְרַח
2	None	JRXM>LJ/	Jerahmeelite	יְרַחְמְאֵלִי
2	None	JRWC>/	Jerusha	יְרוּשָׁא
2	None	JTT/	Jetheth	יְתֵת
2	None	JP<H/	splendour	יִפְעָה
2	None	JPTX_>L/	Iphtah El	יִפְתַּח אֵל
2	None	JYRJ/	Jezerite	יִצְרִי
2	None	JR>JJH/	Irijah	יִרְאִיָּיה
2	None	JCBQ/	Ishbak	יִשְׁבָּק
2	None	JCWH/	Ishvah	יִשְׁוָה
2	None	JTR<M/	Ithream	יִתְרְעָם
